SK_ID_BUREAU,MONTHS_BALANCE,STATUS
5230599,-49,0
6785865,-75,X
6744271,-61,C
6613701,-86,X
6270638,-12,C
5154537,-37,X
5554929,-33,C
6730116,-48,C
5078727,-11,C
6189741,-4,0
6464869,-43,X
6277544,-83,X
6432203,0,X
5023052,-8,0
6746957,-31,C
5789743,-9,C
6140247,-34,X
5578209,-86,0
6053843,-11,0
5907670,-13,C
6207913,-4,C
6343304,-55,C
6513538,-38,C
6424541,-20,0
6741855,-20,X
6780989,-58,C
5817372,-38,C
5796603,0,X
6205402,-19,X
6527667,-25,C
6031107,-14,X
6637541,-8,C
6358263,-34,X
5563516,-40,0
5892524,-8,0
5197990,-36,0
5817562,-55,C
6286205,-32,X
5398988,-3,C
5501453,-48,0
6736952,-14,X
5805151,-72,C
5935870,-18,C
6091059,-18,C
6296477,-19,C
6184473,0,0
5981825,-22,0
6428857,-61,C
5713236,-2,C
6416409,-88,C
6388843,-8,C
6284793,-14,C
5873129,-3,C
5163165,-82,0
6218355,-17,C
6122598,-27,C
6577571,-9,C
6152910,-8,0
6652091,0,C
5135542,-61,0
6065100,-48,0
5536195,-22,C
5819071,-31,1
5958613,-48,C
5296524,-26,C
6658426,-36,0
5009133,-9,0
5339844,-39,C
6763736,-23,0
6390663,-1,0
5065704,-14,C
5993185,-5,0
5067693,-1,X
6269465,-61,X
6596483,-27,C
5937977,-18,0
5953060,-9,X
6095441,-19,C
5924324,-42,C
6111293,-56,0
5045561,-8,0
6722549,-16,C
6029205,-20,X
6707238,-3,X
5902528,0,X
6451798,-39,C
6432608,-10,0
6374973,-46,C
5178683,-37,C
6065663,-65,C
5451779,-1,C
6777400,-36,X
5735582,-4,C
5641928,-28,X
5807529,-12,0
5563253,-88,0
6151296,-67,C
6559753,-27,C
6635623,-42,C
5888489,-25,X
5669528,-29,C
6128177,-83,0
5659014,-13,C
6211162,-18,X
6723393,-23,0
5579990,-35,X
6759653,-10,5
5699734,-61,C
5903404,-4,C
6348362,-78,0
5079240,-29,0
5185588,-66,C
5957072,-31,C
6406613,0,X
5355263,-43,0
6569113,-3,C
6399962,-58,0
6223528,-47,0
5816740,-51,0
6073775,-34,C
5401666,-15,X
5050704,-50,C
5825155,-14,C
6691248,-65,X
5343453,-12,0
5438540,-39,0
6183665,-1,C
6056870,-6,X
5953585,-11,C
6684653,-1,0
5857974,-43,C
6303149,-40,0
6517948,-14,X
6613868,-85,X
5833910,0,C
5837202,-22,X
5994832,0,C
6695446,-27,0
6343185,-10,C
5016341,-5,C
6611566,-15,C
5436877,-68,X
6324928,-80,C
6442668,-13,C
6474591,-1,C
5258188,-50,0
5978434,-3,X
5914454,-4,0
5899312,-74,0
6065473,-21,C
6077832,-17,C
5891522,-67,X
5229490,-71,C
5610067,-9,C
5833177,-1,C
6040496,-53,0
5126014,-11,0
5581489,-49,X
6052086,-32,0
6088529,-24,0
6746568,-5,C
6206957,-13,0
6690657,-89,C
5502389,-87,X
5900734,-27,0
6559476,-60,0
6364957,-37,X
6804776,-33,C
6837034,-21,C
6086471,-14,C
6068803,-51,C
5564542,-63,C
6575079,-48,C
6685040,-47,X
6507831,-77,C
6143672,-16,C
5934125,-52,0
6646998,-16,C
6202300,-37,C
5177867,-51,C
5436212,-15,C
5987557,-43,0
6531751,-22,C
5796317,-26,C
5058304,-32,C
5976199,-52,1
5996273,-26,0
5047889,-81,0
5889506,-51,C
5060215,-33,X
6279273,-14,0
6522924,-12,C
5125695,-20,C
5933604,-33,X
6457878,-65,C
6289982,-6,C
6469041,-38,0
5066819,-4,0
6037663,-51,C
5761475,-34,X
6690487,-10,C
6243569,-40,X
6613701,-37,X
6447986,-11,C
6568994,-24,0
6112114,-76,X
6615057,-57,C
6576527,-13,0
6326717,-7,C
5960351,-11,0
6030448,-35,C
6151271,-2,0
5416515,-13,C
5011694,-22,C
5010198,-21,0
6479569,-23,C
6695465,-20,0
6692899,-37,0
5185606,-30,C
5580177,-14,0
6286028,-28,C
5126637,-13,0
5763605,-24,C
6233736,-24,X
5424565,-27,0
5642274,-16,X
6485317,-41,C
6170254,-48,C
5017318,-7,X
6525179,-25,0
5212576,-49,C
5965302,-52,0
5016457,-10,C
6801542,-63,C
6671693,-6,0
5003943,-53,0
5017526,-13,X
6262315,-29,0
6250810,-32,C
6106482,-4,0
6023685,-7,X
6451974,-49,C
5154099,-10,0
6122212,-70,C
5295407,-21,C
6582013,-16,C
5706637,-94,X
6218959,-17,X
5890428,-26,C
6248927,-29,C
6514201,-13,C
6571463,-51,C
6605902,-32,C
5154817,-29,C
5060263,-82,X
5808296,-19,0
6658665,-50,C
5798765,-33,C
5980914,-41,C
5048342,-32,C
6068826,-56,0
5683859,-20,C
6409691,-22,C
6007047,-73,C
6779972,-46,C
6772657,-13,C
6035836,-22,C
6805329,-3,C
5942829,-63,C
5491367,-35,C
6137881,-25,C
6435587,-10,0
6326337,-11,X
6615230,-41,X
5416052,-29,X
6724113,-12,X
6800304,-10,C
5679921,0,0
5956842,-1,0
6150265,-21,0
5336191,-43,C
5262574,-14,C
6252590,-12,C
5934373,-62,5
6602957,-18,C
6263986,-32,0
6140258,-18,C
5947053,-88,C
6152763,-42,X
6146954,-5,X
6100738,-88,C
5212720,-38,C
5022472,-11,C
6472610,-27,0
5707298,-44,0
5933980,-78,C
6611631,-12,X
5060618,-35,X
5921359,-6,0
6800432,-10,X
6658534,-41,C
6723019,-63,X
6308990,-78,X
6420452,-9,0
6834594,-52,C
5041604,-16,C
6544976,-38,C
5939106,-1,C
6312405,-16,C
6610495,-51,C
6727590,-48,C
5790554,-46,C
6269481,-26,X
6412129,-32,0
6128127,-17,C
5016622,-13,C
6144136,-57,0
5960804,-47,C
5684007,-32,C
6153460,-45,C
6122843,-11,X
6279395,-12,C
6351668,-76,X
5053271,-91,X
5169603,-49,C
5097181,-34,X
6191751,-56,0
6242211,-30,0
5713033,-20,C
6399356,-14,C
5229804,-29,C
5041674,-16,0
5976943,-5,C
6763978,-52,C
6669227,-17,C
6576490,-3,C
6339403,-61,X
6638106,0,0
5122235,-13,0
6806110,-13,X
6006891,-12,0
5609608,-32,X
5701885,-33,X
6184998,-82,0
6187406,-2,0
6810270,-76,C
5637075,-21,0
5555527,-70,X
6732927,-32,C
6753211,-42,0
5398654,-54,C
6708511,-4,C
5265556,0,X
5535662,-22,C
6559842,-20,C
6693213,-6,0
6820479,-21,C
5416669,-14,C
5834554,-27,X
5938586,-56,X
6394742,-90,0
6400116,-83,C
5236492,-20,C
6815093,-9,0
6612701,-11,C
5360723,-28,X
5690304,-67,C
5633347,-53,C
6259311,-41,C
6653762,-58,X
5743365,-2,C
5359865,-21,C
6010650,-5,C
5739602,-5,C
5509023,-25,0
6641217,-36,0
6162999,-48,C
5452389,-63,X
6085834,-1,C
5897520,0,X
6420603,-1,5
5069041,-46,X
6536718,-8,C
5866055,-23,X
6262276,-7,X
5451971,-57,C
6560085,-83,0
5994224,-15,C
6442721,-55,C
6327279,-42,X
6109998,-7,C
5025205,-50,C
6085051,-44,0
5355556,-48,X
6190273,-12,0
6168723,-16,C
5467360,-38,0
6304166,-36,C
5712514,-70,X
5924115,-45,X
5298684,-13,C
5901192,-2,C
6517255,-36,C
6147254,-13,C
6416191,-55,X
6223493,-39,C
6605692,-92,0
5624954,-6,C
5270785,-9,C
5468344,-21,C
6588481,-38,C
5352677,-8,C
6057844,-51,C
6798541,-24,C
6594451,-6,X
6809973,-12,C
6170281,-82,C
5918958,-7,C
5714001,-27,C
5501732,-39,0
5541311,-34,X
6531073,-26,0
6254630,-10,X
6559164,-4,X
5137127,-1,C
5944075,-36,C
6569750,-75,0
6468523,-43,X
5628616,-54,X
6613438,-28,C
5902445,-8,C
6135069,-10,C
6137619,-7,C
5853334,-51,0
6233347,-31,C
6137872,-9,C
6641169,-4,0
6659160,-32,C
6007000,-19,0
6630567,-2,C
5033824,-4,0
6122422,-7,X
5514991,-16,C
6436188,-2,X
6805830,-22,X
5562208,-2,0
6827970,-16,C
6574795,-83,C
6302413,-52,X
6046282,-11,C
6117905,-25,C
5677465,-43,0
6291513,-79,0
6057826,-2,C
5834311,-42,C
6211622,-45,X
5265256,-23,C
6658820,-33,C
6549348,0,C
5026383,-30,C
6161647,-48,X
5711099,-28,0
6834162,-7,C
6013244,-20,C
5427206,-4,X
6312060,-27,C
6024817,-30,C
6485432,-20,0
5984661,-55,C
5816076,-20,C
5707302,-49,0
6040897,0,0
5068472,-3,0
6212594,-40,C
5282765,-8,C
6185031,-13,C
6576037,-4,C
5861149,-8,0
6605264,-9,0
6163021,-26,X
6025871,-93,C
6400161,-17,C
5535871,-63,X
5726481,-15,C
5896906,-6,C
5384511,-69,0
5765308,-3,C
5823685,-7,C
6431410,-13,C
6435198,-51,C
5861026,-42,0
6189628,-3,X
6360438,-48,C
5811666,-23,X
6374921,-31,C
6669113,-3,C
6603473,-33,C
6786116,-75,C
5956783,-36,C
5016695,-14,X
5354265,-46,0
6099973,-31,C
5465537,-22,C
6771848,-50,C
5581583,-6,C
5050891,-44,0
5564427,-47,0
6793665,-15,0
5784521,-43,C
5029705,-5,X
5844856,-34,C
5566705,-18,0
5815443,-92,0
5279154,-14,C
5963923,-19,C
6032211,-18,X
6097709,-17,X
5744322,-68,C
6575757,-2,C
6430377,-72,C
6169497,-49,0
6763688,-55,X
6820541,-5,X
5993821,-37,C
6147686,-76,C
6699394,-73,C
5709116,-50,0
6596770,-36,C
5350039,-27,0
5501717,-58,C
6661241,-15,0
6232985,-21,C
6508809,-58,0
6549338,-1,0
6481328,-23,C
6407264,-9,C
5794701,-9,C
5737297,-77,X
6241407,-14,C
5980830,-34,X
6158728,-29,C
6317090,-39,C
6013165,-19,X
6567245,-4,0
6735307,-9,C
5680178,-14,C
6375675,-96,0
5932610,-17,C
5023997,-6,C
6064180,-44,C
6466443,-52,X
5116931,-17,0
6053000,-14,X
6468304,-5,C
6216708,-15,C
5954494,-15,C
6777330,-33,X
5942907,-55,C
6665360,-26,0
5964312,-49,C
6664429,-39,C
5236313,-3,C
6264499,-17,0
5764468,-5,0
6719962,-85,X
6108391,-86,X
6519827,-3,0
6363103,-67,X
5859041,-30,0
5135384,-15,C
5739420,-42,C
5518038,-37,X
5568967,-16,0
6097564,-24,X
6614004,-54,C
6055585,-5,C
6438819,-36,C
6669722,-15,0
6479500,-7,0
6105087,-48,C
6428641,-3,X
6138158,-7,0
5961111,-32,C
6602951,-7,C
6304587,-38,C
5875025,0,0
6339109,-21,C
6211041,-4,C
6550398,-10,C
6244139,-45,C
5964141,-25,C
5336295,-16,C
5971085,-7,0
6051519,-23,C
6447957,-27,0
6835424,-7,X
5902739,-56,C
6830348,-18,X
5068705,-9,C
5424729,-45,C
6423244,-31,C
5010545,-8,X
5297887,-8,0
6359632,-6,0
6458373,-2,0
6304027,-70,0
5775230,-25,X
6524074,-82,X
5877440,-40,C
6674441,-7,C
6523805,-37,C
6160043,-4,X
6092653,-94,0
6395581,-1,0
5022809,0,0
6580377,-15,0
5445090,-13,X
6524560,-54,C
5941038,-33,C
6464808,-5,0
6804508,-57,0
6277511,-34,X
6288981,-90,X
6073529,-53,X
5452359,-30,C
6390600,-37,C
6071119,-28,C
6480759,-22,0
6074401,0,C
5122323,-32,0
5726839,-9,0
5513471,-1,C
6531458,-16,C
6596891,-80,C
6262204,-86,0
5372113,-79,C
5122093,-62,C
6152587,-39,0
6346308,-58,0
5561951,0,X
6308231,-29,0
5121286,-9,C
5017089,-32,0
5903166,-54,C
6518333,-9,C
6558565,-32,0
5975571,-1,X
6574342,-79,X
5033813,-11,C
6406331,-13,X
5270268,-18,C
5963320,-3,X
6066511,-38,X
6216010,-18,0
5314788,-59,0
5229669,-18,C
5552207,-5,C
6476840,-20,C
6356685,-32,X
5771154,-63,C
6766039,-35,0
5542891,-18,C
5465373,-6,C
6520919,-49,0
5035557,-59,0
5266168,-27,0
6810645,-70,C
5982428,-12,C
6288981,-80,X
5051087,-26,1
6645871,-13,C
5400645,-81,X
5474553,-30,0
5385240,-91,C
5053293,-1,X
5950647,-68,C
6087459,-92,0
6562782,-74,0
5839032,-45,C
5615313,-5,C
5002330,-10,C
5041386,-1,C
6004807,-24,0
5883175,-1,C
5178234,-87,0
6315951,-33,0
5823336,-85,C
5938304,-7,C
5264528,-29,0
6743451,-16,0
5012496,-69,C
5135476,-40,C
6122307,-80,X
5224631,-57,X
6425383,-33,X
6708284,-8,C
5975987,-29,0
6183543,-13,C
6582346,-26,C
6078424,-13,0
5578134,-37,0
5983373,-49,C
6321756,-54,0
6061497,-19,0
5425029,-4,X
5372641,-9,X
6668614,-34,C
5618126,-35,X
6634589,-14,C
5790598,-40,0
6324683,-49,C
6046778,-15,X
5932948,-45,X
6054304,-40,C
6723903,0,C
5290370,-83,0
6308900,-12,X
5041490,-65,C
6175979,-4,X
5618259,-7,0
6707960,-30,0
5517968,-47,C
6216137,-44,C
5981998,-49,0
6815211,-8,C
5824392,-26,0
5021409,-70,X
5817952,-31,X
5832767,-3,X
5680794,-69,C
6524054,-31,C
6568009,-1,0
5950477,-35,C
6207793,-30,C
6804188,-28,C
6061715,-25,0
6183570,-66,0
5229892,-8,0
6138581,-10,X
6577874,-21,X
5944604,-3,X
5452363,-35,C
6514003,-31,C
5946857,-45,C
6528745,-16,0
6247952,-30,C
6079355,-22,X
6186203,-30,0
5016404,-13,0
5875843,-1,0
5794761,-49,X
6035077,-41,C
6790263,-36,C
6160962,-13,C
6029824,-3,C
6250227,0,C
6258674,-7,C
5010842,-10,C
5838225,-16,0
6161902,-37,X
6539088,-36,X
6278910,-19,C
6436731,-14,X
5563936,-41,0
6191867,-52,0
6077756,-10,0
6065915,-25,C
6549709,-33,C
5876165,-19,C
5950994,-17,C
5807405,-33,C
6205037,-16,C
5383273,-78,0
6243951,-33,C
6535740,-11,C
5289896,-55,C
5714097,-82,X
6817892,-7,C
6207615,-77,X
6472925,-25,X
6400081,-9,0
6134469,-3,C
5469528,-77,C
6011234,-22,C
6827740,0,X
5135753,-16,0
6064222,-6,C
6155238,-68,0
6357438,-72,C
6730458,-3,X
6014229,-48,X
5068957,-46,0
5940675,-8,0
5951475,-65,C
6183009,-4,C
6437278,-39,C
5320216,-35,C
5165039,-70,C
5100398,-87,C
6724240,-42,0
6623071,-51,X
6725098,-22,C
6185032,-3,C
5100401,-61,0
6263761,-13,C
6010498,-67,1
6087860,-77,C
5099836,-6,C
6781176,-19,0
5796817,-34,X
6020553,-16,X
5054100,-4,C
5961150,-56,C
6051036,-14,0
6021087,-1,X
6723658,-14,0
5585185,-14,C
6085969,-63,0
6499200,-40,0
6046119,-39,C
5921546,-45,0
5907772,-27,C
5004311,-14,X
6481823,-22,0
5906151,-19,0
6335735,-8,0
5399077,-3,0
6085655,-11,0
6061590,-65,0
5492162,-46,C
5467890,-45,X
5871870,-9,C
5845043,-33,X
5515276,-34,C
6609813,-36,0
5970616,-15,X
5765536,-14,C
6421545,-41,X
6025719,-17,C
6726841,-34,X
6452731,-6,X
5012617,-8,C
6586428,-66,C
6261639,-87,X
5038779,-5,C
6210572,-9,C
6743594,-15,C
6559915,-53,0
6637746,-1,C
5542288,-83,C
5708385,-28,X
6612717,-19,C
6019011,-1,C
6375892,-80,0
6508826,-10,C
6671091,-13,0
6832867,-20,C
6805503,-42,0
6472336,-15,C
5763979,-20,X
5878531,-1,X
5467319,0,C
6013259,-68,X
6448374,-94,X
6304478,-18,C
5478933,-2,0
5791401,-16,X
6796223,-26,X
6653627,-11,C
5857655,-51,C
6054474,-13,X
5344385,-35,C
6308295,-12,0
6723610,-47,3
6161745,-10,C
6727465,-4,C
5726492,-16,0
6217721,-41,C
6438942,-2,C
6731130,-31,C
5314993,-74,C
6342869,-52,0
6047784,-16,0
6631326,-47,0
6525623,0,X
6375033,-10,X
6718753,-16,C
6398020,-31,X
6783628,-71,C
6056951,-25,0
6023483,-48,X
5967990,-19,X
6394516,-15,X
5170164,-22,X
6560347,-13,X
5960978,-36,C
6735638,-7,C
5580082,-70,0
6243585,-12,C
6805816,-64,X
6835341,-5,X
6065061,-29,0
5877606,-38,C
5471231,-17,C
6263721,-8,C
6567522,-30,C
5405697,-85,0
6296874,-13,0
5617862,-29,0
6176888,-37,0
5242656,-20,X
5924904,-15,C
6248178,-54,C
5282573,-84,X
6087587,-39,C
6817007,-15,C
6647348,-29,0
5566991,-26,C
5668955,0,X
6263535,-14,C
5282857,-76,C
6040273,-11,C
5438637,-40,C
5901648,-26,C
6368613,0,C
5921099,-6,0
6517686,-51,0
6324707,-8,C
6209200,-1,0
6579706,-78,X
5902802,-17,C
5993597,-12,X
6804598,-66,C
6550114,-6,C
5867380,-1,C
6052683,-32,0
5025180,-32,1
5415556,-46,C
6736003,-6,C
5037280,-87,X
5853667,-25,C
5036012,-2,0
5984566,-88,X
6345878,-89,X
5819731,-54,C
5282864,-59,0
5212357,0,X
5627958,-10,0
6805440,-20,0
6804807,-32,C
6183948,-9,0
5427628,-84,X
6217546,-34,0
5957548,-81,0
5185805,-60,0
6099968,-26,C
6067019,-17,0
6209512,-53,X
6575909,-19,X
6609821,-6,X
6297075,-31,C
6468738,-90,X
6109362,-15,0
6097297,-13,C
6719037,-36,0
6611367,-21,C
6205642,-6,X
6053141,-39,X
6063581,-29,C
6731684,-75,C
5279082,-12,C
5567059,-60,C
6580097,-29,C
6284110,-20,C
6790470,-18,X
6396442,-11,C
5866051,-5,C
6019769,0,X
6779934,-1,0
5857628,-3,X
5739140,-20,X
6057043,-59,C
5230202,-42,X
5836580,-9,0
6176175,0,C
5045138,-5,0
6458301,-65,X
5902102,-23,C
5811278,-67,C
5763470,-6,C
6753771,-27,0
5642073,-4,C
5753768,-4,C
6448592,-17,C
6801507,0,C
5739526,-11,X
6218076,-15,X
6527557,-20,C
6235205,-57,X
5436946,-3,0
6021013,-27,C
6438865,-3,C
5465317,-70,C
5970855,-31,X
5468834,-33,X
5906215,0,C
5807693,-22,C
6452762,-40,0
5929759,-3,C
6816829,-62,C
5718427,-15,C
5764685,-6,X
5050884,-63,C
6078226,-46,C
5125481,-10,0
5889516,-37,C
6218961,-3,0
6546734,-9,C
5771809,-3,C
6499025,-6,X
5467182,-23,C
6801090,-25,X
6007825,-57,0
5237377,0,C
5021879,-7,C
6057682,-46,C
6828497,-14,C
5579292,-89,X
5857807,-3,C
6231985,-5,C
6586342,-2,C
6668766,-58,0
6835999,-5,0
5933090,-13,0
6094994,-18,0
6579948,-7,0
5631817,-72,5
5354023,-42,0
5878117,-61,C
6766952,-63,C
5405648,-56,0
6005210,-26,C
5180946,-74,0
6203309,-6,C
5453679,-5,C
5915886,-60,X
5645652,-56,X
5709596,-4,0
6176144,-36,0
5762560,-59,C
6253363,-7,C
6064799,-24,0
5062103,-28,X
6547920,-8,X
6345733,-43,X
6060826,-63,C
6432316,-2,C
5791108,-60,C
6736440,-12,X
5993362,-5,X
6253354,-21,C
6066512,-23,C
6090701,-39,X
6374194,-62,0
5989253,-33,X
6765882,-15,C
5467377,-43,0
5737946,-40,C
5988255,-49,0
5178449,-27,0
6744830,-8,X
6612808,-5,C
6363766,-3,C
6251353,-11,0
5761424,-31,X
6052277,-94,0
6234423,0,C
5817321,-20,C
6138112,-33,X
5839217,-36,C
6560390,-13,0
5969278,-50,X
6358138,-5,0
5785111,-54,0
5136997,-39,C
6432060,-75,0
5834437,-26,C
5811755,-22,X
5377230,-31,C
5236330,-29,C
6803844,-32,C
6803959,-16,X
5659719,-11,C
5012085,-7,C
6731742,-77,X
6321944,-21,C
6364179,-6,X
6097179,-43,0
5822786,-80,C
5971916,-13,C
6025449,-12,X
5829769,-58,0
6168582,-38,X
6228951,-71,X
5541476,-58,C
6530326,-42,0
6733515,-71,C
6810476,-16,C
6233455,-17,C
5566786,-54,C
6783394,-13,C
6611786,-3,X
6591716,-34,C
5982072,-8,C
6116581,-26,X
6614138,-49,C
5764642,-70,0
6023480,-23,C
6407805,-35,0
6624973,-25,C
6333734,-21,0
6134381,-12,C
5344273,-15,X
5178474,-48,0
6040203,-6,C
6232951,-25,C
5205742,-88,0
5985023,-21,C
6279384,-33,C
6056773,-56,0
5836924,-90,X
5017554,-62,0
6400236,-49,C
6827942,-22,C
6719526,-15,C
5054539,-89,0
5067134,-22,C
5853837,-30,C
6090609,-4,C
6031984,-29,C
6053537,-35,C
5774674,-22,C
6116489,-24,0
6090884,-35,0
5937951,-5,C
6586668,-7,C
6073756,-36,0
5741064,-32,0
5904028,-31,0
6406030,-32,0
6438524,-17,X
6027864,-59,C
5424177,-41,C
5727713,-37,C
5354726,-32,0
5903148,-8,0
6374119,-39,X
5816687,-29,X
6358911,-56,X
6311378,-21,C
5804646,-24,C
6357122,-2,C
5907482,-31,X
6466944,-1,C
5903187,0,X
5897042,-42,C
5023055,-30,0
6550958,-47,C
5922149,-43,C
6140432,-61,X
5940515,-31,C
6046012,-33,X
5236311,-73,C
5033802,-78,0
6688975,-72,C
5565435,-1,C
6193308,-11,0
5931821,-28,C
5087630,-10,C
6547680,-13,X
5061701,-7,C
6498562,-31,C
6615108,-33,0
6801844,-7,X
6045810,-2,C
5773011,-42,C
6566395,-11,X
5907313,-9,X
5906783,-10,C
6339477,-10,X
5541371,-38,X
6447917,-3,C
5615658,-8,C
5796006,-80,C
6477045,-74,C
6026498,-72,0
6058258,-44,X
5906555,-53,X
6582206,-85,X
6668897,-17,X
6035546,-42,X
5041062,-8,C
5817021,-70,C
6122210,-32,X
5580020,-36,C
5060256,-76,X
6400001,-38,C
5089451,-73,C
5342424,-73,X
6591563,-10,C
5036891,-79,0
5922691,-74,C
6097199,-80,C
6242213,-10,C
5576428,-50,0
5929145,-36,X
5467625,-26,C
6033006,-79,0
6420311,-76,0
6727643,-74,X
6140713,-12,C
6617797,-25,C
5585102,-9,0
6574482,-3,0
6447922,-32,X
6529860,-51,0
5792142,0,X
6546996,-18,0
5798722,-37,0
5790794,-46,X
6806297,-79,0
6550611,-12,C
6333569,-22,C
6364149,-57,C
6543542,-44,0
5651399,-8,C
6309290,-8,0
6202815,-9,C
6566375,-16,C
6635092,-44,0
6091116,-56,X
6100625,-60,0
5096325,-8,0
5585067,-35,C
6253575,-32,X
6781423,-30,C
6228966,-3,C
5903708,-9,C
5937502,-12,C
5812667,-15,X
6195860,-4,0
6786633,-34,C
5984133,-2,X
6809970,-48,C
5763615,-32,0
5867669,-50,X
5839995,-18,C
5518530,-12,0
6299008,-28,X
6622805,-21,0
6064014,-29,X
6571920,-17,C
6586784,-35,X
6421511,-12,0
5598795,-16,X
6424762,-80,X
5002007,-6,C
5242242,-5,C
6191356,-43,0
6210438,-17,0
6592168,-54,C
5744271,-8,0
6448355,-27,C
5682286,-23,C
6659140,-79,X
6019716,-15,0
6457854,-16,X
6547609,-12,0
5719421,-60,X
6817720,-2,0
5915697,-25,X
5193545,-2,X
5709972,-69,X
6429281,-16,X
6152634,-66,C
5236557,-43,C
5819918,-40,0
5424862,-29,0
5730815,-24,X
6466744,-9,C
6688371,-53,0
6442623,-4,C
6125438,-3,C
6752814,-57,C
5091822,-3,C
6115660,-13,C
5352535,-42,C
5949048,-4,C
6801818,-18,C
6607998,-29,0
6016454,-25,0
6186446,-7,0
5954527,-7,C
6653682,-18,0
5091657,-44,0
6485190,-9,C
6217313,-6,X
5615433,-35,X
5902069,-1,0
6202366,-26,C
